id,word,translation,language,status,created_at,updated_at
1,a,"1) (только в формах косвенных падежей)
anda - там, туда
andan - оттуда
2) a degence - моментально; не успел рот раскрыть, как...",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
2,ab,"1) /устар., поэтич./
вода
ab-ı ayat - вода жизни
ab-ı revan - водный поток
ab-ı ava - погода, климат
см. iklim
2) см. ap",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
3,aba,бурка бурка,Q,1,2015-12-30 21:52:11,2015-12-30 21:52:11
4,abad,"1) цветущий, процветающий
2) благоустроенный
3) упорядоченный",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
5,abadan,благоустроенный,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
6,abadanlaşma,"1) благоустройство
2) упорядочение",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
7,abadanlaşmaq,благоустраиваться,Q,1,2016-08-30 21:52:11,2016-08-30 21:52:11
8,abadanlaştırmaq,благоустраивать,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
9,abadanlaşuv,"1) благоустройство
2) упорядочение",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
10,abadanlıq,благоустроенность,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
11,abajur,абажур,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
12,abaq,след от срезанной ветки на стволе дерева,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
13,abay,"/диал. Керч./
мать, мама
см. ana",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
14,abaylamaq,замечать,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
15,abbat,"(abbatı)
аббат",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
16,abbreviatura,"/русизм/
аббревиатура
см. qısqartma",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
17,abdal,неуклюжий,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
18,abdest,"(abdesti)
омовение",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
19,abdır-sebdir,"дёргаясь и спотыкаясь
ср. tentir-mentir",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
20,abdıramaq,"вздрагивать, встрепенуться (от испуга, неожиданности)
ср. seskenmek",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
21,abdıratmaq,"1) испугать
2) ошеломить
3) всполошить, переполошить",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
22,abdıravıq,см. abdıravuq,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
23,abdıravuq,"пугливый, нервный",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
24,abeş,"эфиоп, эфиопский",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
25,Abeşistan,Эфиопия,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
26,abhaz,"абхаз, абхазский",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
27,Abhaziya,Абхазия,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
28,abide,"памятник, монумент
edebiy abide - литературный памятник
tarih abidesi - памятник истории
mimarcılıq abidesi - памятник архитектуры",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
29,abideviy,монументальный,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
30,abınmaq,"спотыкаться, споткнуться
ср. sürünmek",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
31,abla,"/диал. южн./
старшая сестра, также обращение к пожилой женщине
см. apte",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
32,able,"/диал. южн., орта-ёл./
см. böyle",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
33,ablen,"/диал. южн., орта-ёл./
см. böyle",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
34,abonement,"(abonementi)
абонемент, абонементный",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
35,abonent,"(abonenti)
абонент, абонентский",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
36,abordaj,"абордаж, абордажный",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
37,aborigen,абориген,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
38,aborotlanmaq,"фасонить
ср. forsalanmaq",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
39,abort,"(abortı)
аборт",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
40,abortiv,абортивный,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
41,abrakadabra,абракадабра,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
42,abramaq,"1) обработать
2) ограбить",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
43,abraziv,абразив,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
44,absolüt,абсолютный,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
45,abu,"/разг./
(от aha bu) это(т), вот это(т)
см. bu
abulardan yahşısı yoq - лучше этих нет",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
46,abul-qubul,"кое-как, наспех, небрежно, как попало",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
47,abulqat,"(abulqatı)
адвокат",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
48,abune,"1) подписка (на газеты, журналы)
abune olmaq - подписываться
2) подписанный",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
49,abuneci,подписчик,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
50,abur-çubur,всякая всячина,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
51,abzats,"абзац
ср. satır başı 2), ibare 2)",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
52,aç,"голодный
yarı aç - полуголодный",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
53,acaba,"/диал./
см. aceba",Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
54,acaip,см. acayip,Q,1,2016-07-30 21:52:11,2016-07-30 21:52:11
